cost_entry_id,fiscal_year,fiscal_month,cost_pool_id,cost_sub_pool_id,vendor,description,amount
1,2025,4,internal_labor,salary,ABC商事,IT部門給与（システム開発）,15000000
2,2025,4,internal_labor,salary,ABC商事,IT部門給与（インフラ運用）,10000000
3,2025,4,internal_labor,benefits,ABC商事,IT部門福利厚生費,5000000
4,2025,4,external_labor,consultants,コンサルティング株式会社,ERPコンサルティング費用,5000000
5,2025,4,external_labor,contractors,システム開発株式会社,CRMシステム開発委託,10000000
6,2025,4,hardware,hw_expense,PCショップ,PC周辺機器購入,500000
7,2025,4,hardware,hw_lease,リース株式会社,サーバーリース料,3000000
8,2025,4,hardware,hw_maintenance,保守株式会社,サーバー保守費用,2000000
9,2025,4,hardware,hw_depreciation,ABC商事,サーバー減価償却費,5000000
10,2025,4,software,sw_license,マイクロソフト,MS365ライセンス,8000000
11,2025,4,software,sw_license,セールスフォース,Salesforceライセンス,10000000
12,2025,4,software,sw_license,SAP,SAPライセンス,15000000
13,2025,4,software,sw_maintenance,SAP,SAP保守費用,3000000
14,2025,4,external_services,cloud_services,AWS,AWSクラウドサービス利用料,5000000
15,2025,4,external_services,cloud_services,マイクロソフト,Azureクラウドサービス利用料,3000000
16,2025,4,facilities,facilities_expense,電力会社,データセンター電気代,2000000
17,2025,4,facilities,facilities_lease,不動産会社,データセンター賃料,5000000
18,2025,4,telecom,telecom_expense,通信会社,インターネット回線料金,1000000
19,2025,4,telecom,telecom_expense,通信会社,専用線料金,2000000
20,2025,4,other,misc_expense,文房具店,事務用品費,300000
