allocation_id,cost_pool_id,cost_sub_pool_id,it_tower_id,it_sub_tower_id,allocation_method,allocation_value,description
1,internal_labor,salary,compute,servers,direct,0.3,サーバー管理担当者の人件費
2,internal_labor,salary,compute,unix,direct,0.1,UNIX管理担当者の人件費
3,internal_labor,salary,network,lan_wan,direct,0.2,ネットワーク管理担当者の人件費
4,internal_labor,salary,application,app_development,direct,0.3,アプリケーション開発担当者の人件費
5,internal_labor,salary,it_management,strategy_planning,direct,0.1,IT戦略担当者の人件費
6,internal_labor,benefits,compute,servers,usage_based,0.3,サーバー管理担当者の福利厚生費
7,internal_labor,benefits,compute,unix,usage_based,0.1,UNIX管理担当者の福利厚生費
8,internal_labor,benefits,network,lan_wan,usage_based,0.2,ネットワーク管理担当者の福利厚生費
9,internal_labor,benefits,application,app_development,usage_based,0.3,アプリケーション開発担当者の福利厚生費
10,internal_labor,benefits,it_management,strategy_planning,usage_based,0.1,IT戦略担当者の福利厚生費
11,external_labor,consultants,application,app_support,direct,1.0,ERPコンサルティング費用
12,external_labor,contractors,application,app_development,direct,1.0,CRMシステム開発委託
13,hardware,hw_expense,end_user,workspace,direct,1.0,PC周辺機器購入
14,hardware,hw_lease,compute,servers,direct,0.8,サーバーリース料（Windowsサーバー）
15,hardware,hw_lease,compute,unix,direct,0.2,サーバーリース料（UNIXサーバー）
16,hardware,hw_maintenance,compute,servers,direct,0.8,サーバー保守費用（Windowsサーバー）
17,hardware,hw_maintenance,compute,unix,direct,0.2,サーバー保守費用（UNIXサーバー）
18,hardware,hw_depreciation,compute,servers,direct,0.7,サーバー減価償却費（Windowsサーバー）
19,hardware,hw_depreciation,compute,unix,direct,0.2,サーバー減価償却費（UNIXサーバー）
20,hardware,hw_depreciation,storage,online_storage,direct,0.1,ストレージ減価償却費
21,software,sw_license,end_user,end_user_software,direct,0.3,MS365ライセンス
22,software,sw_license,application,business_software,direct,0.7,Salesforce・SAPライセンス
23,software,sw_maintenance,application,business_software,direct,1.0,SAP保守費用
24,external_services,cloud_services,compute,servers,direct,0.5,AWSクラウドサービス（EC2）
25,external_services,cloud_services,storage,online_storage,direct,0.3,AWSクラウドサービス（S3）
26,external_services,cloud_services,platform,database,direct,0.2,Azureクラウドサービス（SQL Database）
27,facilities,facilities_expense,data_center,enterprise_dc,direct,1.0,データセンター電気代
28,facilities,facilities_lease,data_center,enterprise_dc,direct,1.0,データセンター賃料
29,telecom,telecom_expense,network,lan_wan,direct,0.7,インターネット回線料金
30,telecom,telecom_expense,network,transport,direct,0.3,専用線料金
31,other,misc_expense,it_management,it_finance,direct,1.0,事務用品費
