allocation_id,service_id,business_unit_id,allocation_method,allocation_value,description
1,erp,finance,user_count,0.5,経理部門のERP利用
2,erp,sales,user_count,0.3,営業部門のERP利用
3,erp,it,user_count,0.2,IT部門のERP利用
4,crm,sales,user_count,0.8,営業部門のCRM利用
5,crm,it,user_count,0.2,IT部門のCRM利用
6,sales_force,sales,direct,1.0,営業部門のSalesforce利用
7,email,sales,user_count,0.5,営業部門のメールサービス利用
8,email,finance,user_count,0.3,経理部門のメールサービス利用
9,email,it,user_count,0.2,IT部門のメールサービス利用
10,collaboration,sales,user_count,0.5,営業部門のコラボレーションツール利用
11,collaboration,finance,user_count,0.3,経理部門のコラボレーションツール利用
12,collaboration,it,user_count,0.2,IT部門のコラボレーションツール利用
13,helpdesk,sales,ticket_count,0.6,営業部門のヘルプデスク利用
14,helpdesk,finance,ticket_count,0.3,経理部門のヘルプデスク利用
15,helpdesk,it,ticket_count,0.1,IT部門のヘルプデスク利用
16,file_sharing,sales,storage_used,0.4,営業部門のファイル共有利用
17,file_sharing,finance,storage_used,0.3,経理部門のファイル共有利用
18,file_sharing,it,storage_used,0.3,IT部門のファイル共有利用
19,remote_access,sales,user_count,0.6,営業部門のリモートアクセス利用
20,remote_access,finance,user_count,0.2,経理部門のリモートアクセス利用
21,remote_access,it,user_count,0.2,IT部門のリモートアクセス利用
22,web_hosting,sales,direct,1.0,営業部門のWebホスティング利用
23,database_service,finance,usage_based,0.3,経理部門のデータベースサービス利用
24,database_service,sales,usage_based,0.4,営業部門のデータベースサービス利用
25,database_service,it,usage_based,0.3,IT部門のデータベースサービス利用
26,security_service,sales,user_count,0.5,営業部門のセキュリティサービス利用
27,security_service,finance,user_count,0.3,経理部門のセキュリティサービス利用
28,security_service,it,user_count,0.2,IT部門のセキュリティサービス利用
29,backup_recovery,sales,storage_used,0.4,営業部門のバックアップ・リカバリサービス利用
30,backup_recovery,finance,storage_used,0.3,経理部門のバックアップ・リカバリサービス利用
31,backup_recovery,it,storage_used,0.3,IT部門のバックアップ・リカバリサービス利用
